joint1,joint2,joint3,joint4,joint5,joint6,wheel_left_base,wheel_right_base
4.52018679375499E-07,1.21557561127972E-07,-6.43898792063169E-08,4.1984989707089E-08,-3.67471653106577E-09,-2.28618555198068E-08,,
0.001750597033788,-0.023715324772064,-0.097482213697046,2.15045369910019E-05,-0.091542000103667,-0.001723829187558,,
0.003500742048896,-0.04743077110169,-0.194964363004212,4.29670889922967E-05,-0.183083996532617,-0.003447635513261,,
0.005250887064005,-0.071146217431316,-0.292446512311378,6.44296409935916E-05,-0.274625992961568,-0.005171441838964,,
0.007001032079113,-0.094861663760941,-0.389928661618544,8.58921929948864E-05,-0.366167989390518,-0.006895248164667,,
0.008751177094222,-0.118577110090567,-0.48741081092571,0.000107354744996,-0.457709985819468,-0.00861905449037,,
0.01050132210933,-0.142292556420192,-0.584892960232877,0.000128817296997,-0.549251982248419,-0.010342860816073,,
0.012251467124439,-0.166008002749818,-0.682375109540043,0.000150279848999,-0.640793978677369,-0.012066667141775,,
0.014001612139547,-0.189723449079443,-0.779857258847209,0.000171742401,-0.732335975106319,-0.013790473467478,,
0.015751757154656,-0.213438895409069,-0.877339408154375,0.000193204953001,-0.82387797153527,-0.015514279793181,,
0.017501902169764,-0.237154341738694,-0.974821557461542,0.000214667505003,-0.91541996796422,-0.017238086118884,,
0.019252047184873,-0.26086978806832,-1.07230370676871,0.000236130057004,-1.00696196439317,-0.018961892444587,,
0.021002192199981,-0.284585234397945,-1.16978585607587,0.000257592609005,-1.09850396082212,-0.02068569877029,,
0.022752337215089,-0.308300680727571,-1.26726800538304,0.000279055161007,-1.19004595725107,-0.022409505095992,,
0.024502482230198,-0.332016127057196,-1.36475015469021,0.000300517713008,-1.28158795368002,-0.024133311421695,,
0.026252627245306,-0.355731573386822,-1.46223230399737,0.000321980265009,-1.37312995010897,-0.025857117747398,,
0.028002772260415,-0.379447019716447,-1.55971445330454,0.00034344281701,-1.46467194653792,-0.027580924073101,,
0.029752917275523,-0.403162466046073,-1.65719660261171,0.000364905369012,-1.55621394296687,-0.029304730398804,,
0.031503062290632,-0.426877912375698,-1.75467875191887,0.000386367921013,-1.64775593939582,-0.031028536724507,,
0.03325320730574,-0.450593358705324,-1.85216090122604,0.000407830473014,-1.73929793582477,-0.032752343050209,,
